X,Y,Interpolated
-57.2633,-61.7616,171.54396660954444
-57.1833,-61.7616,102.73944320382013
-57.1033,-61.7616,46.461666982604044
-57.0233,-61.7616,6.908005365504944
-56.9433,-61.7616,-22.8277290631145
-56.8633,-61.7616,-35.762872930781036
-56.7833,-61.7616,-35.22048263248171
-56.7033,-61.7616,-27.16804546349887
-56.6233,-61.7616,-15.832622725049081
-56.5433,-61.7616,-4.065780559227451
-56.4633,-61.7616,4.4117596738407405
-56.3833,-61.7616,8.747151480138282
-56.3033,-61.7616,11.49272966611646
-56.2233,-61.7616,12.673963085602747
-56.1433,-61.7616,11.354518086575686
-56.0633,-61.7616,6.645598462543095
-55.9833,-61.7616,-0.3969962085961573
-55.9033,-61.7616,-4.938815255704244
-55.8233,-61.7616,-6.141049132093996
-55.7433,-61.7616,-3.5225189817733353
-55.6633,-61.7616,2.032843826248263
-55.5833,-61.7616,8.518329964412874
-55.5033,-61.7616,12.004395683284946
-55.4233,-61.7616,-2.310189972377517
-55.3433,-61.7616,-8.108440957180553
-55.2633,-61.7616,6.751188177207258
-55.1833,-61.7616,26.96209270269782
-55.1033,-61.7616,21.569735035695533
-55.0233,-61.7616,-19.041987860154954
-54.9433,-61.7616,-3.5266843341789875
-54.8633,-61.7616,44.09882211918834
-54.7833,-61.7616,77.31960230042198
-54.7033,-61.7616,91.92255018638808
-54.6233,-61.7616,94.31485213825448
-54.5433,-61.7616,91.80105817095252
-54.4633,-61.7616,67.62457624325472
-54.3833,-61.7616,11.825408951779067
-54.3033,-61.7616,-22.99082981270079
-54.2233,-61.7616,-35.6981474755864
-54.1433,-61.7616,-33.9943579242695
-54.0633,-61.7616,-22.52822626848689
-53.9833,-61.7616,5.827779087695856
-53.9033,-61.7616,69.58960928180471
-53.8233,-61.7616,134.0727356374747
-53.7433,-61.7616,188.65851356457864
-53.6633,-61.7616,229.89146012663846
-53.5833,-61.7616,257.08396502982845
-53.5033,-61.7616,270.512792662007
-57.7433,-61.6816,308.5756336165045
-57.6633,-61.6816,307.94334660637406
-57.5833,-61.6816,302.4922064657391
-57.5033,-61.6816,280.8767939715699
-57.4233,-61.6816,237.86355243532918
-57.3433,-61.6816,186.00825782482184
-57.2633,-61.6816,130.03890914649082
-57.1833,-61.6816,72.6575982075256
-57.1033,-61.6816,18.793082628408644
-57.0233,-61.6816,-22.167894849774537
-56.9433,-61.6816,-41.28204308615237
-56.8633,-61.6816,-41.08476696946118
-56.7833,-61.6816,-32.468471868429596
-56.7033,-61.6816,-22.313513995918054
-56.6233,-61.6816,-12.86865335769067
-56.5433,-61.6816,-4.519799593023465
-56.4633,-61.6816,1.6684953529488085
-56.3833,-61.6816,5.803267391452375
-56.3033,-61.6816,9.404405617688194
-56.2233,-61.6816,12.006255033590444
-56.1433,-61.6816,11.972892718095322
-56.0633,-61.6816,7.071751880354712
-55.9833,-61.6816,-3.5960067900304202
-55.9033,-61.6816,-13.04368093240193
-55.8233,-61.6816,-18.138606369112388
-55.7433,-61.6816,-18.81497852041343
-55.6633,-61.6816,-17.165527746911096
-55.5833,-61.6816,-16.112214724316875
-55.5033,-61.6816,-18.294455656202036
-55.4233,-61.6816,-25.72601137442182
-55.3433,-61.6816,-8.383074817203676
-55.2633,-61.6816,59.081280206574625
-55.1833,-61.6816,159.08767040265676
-55.1033,-61.6816,237.7821924484658
-55.0233,-61.6816,251.04276379328235
-54.9433,-61.6816,237.78656020082653
-54.8633,-61.6816,221.20015371294045
-54.7833,-61.6816,192.4265118337728
-54.7033,-61.6816,147.99086159993686
-54.6233,-61.6816,89.8046836506842
-54.5433,-61.6816,27.94710441937224
-54.4633,-61.6816,-24.248159692305524
-54.3833,-61.6816,-48.2042840117353
-54.3033,-61.6816,-39.503226067373376
-54.2233,-61.6816,-12.710711956890085
-54.1433,-61.6816,21.270415215108667
-54.0633,-61.6816,57.91592120526459
-53.9833,-61.6816,99.96682953949899
-53.9033,-61.6816,154.4018558985338
-53.8233,-61.6816,205.26116617257162
-53.7433,-61.6816,246.70802776283253
-53.6633,-61.6816,277.2722524708025
-53.5833,-61.6816,297.1196190058151
-53.5033,-61.6816,306.83514642354976
-57.7433,-61.6016,182.22731137732893
-57.6633,-61.6016,173.7799006340193
-57.5833,-61.6016,158.6983879481297
-57.5033,-61.6016,144.1324454086962
-57.4233,-61.6016,135.21948830894465
-57.3433,-61.6016,119.94541458059763
-57.2633,-61.6016,93.18876543710874
-57.1833,-61.6016,53.52504378853776
-57.1033,-61.6016,3.96321881280215
-57.0233,-61.6016,-40.725222853352136
-56.9433,-61.6016,-45.78885747525617
-56.8633,-61.6016,-29.257683622895957
-56.7833,-61.6016,-14.349221466975976
-56.7033,-61.6016,-6.672152388870731
-56.6233,-61.6016,-4.044242534125387
-56.5433,-61.6016,-2.9645963567830558
-56.4633,-61.6016,-1.2866116692483731
-56.3833,-61.6016,1.8890216416654741
-56.3033,-61.6016,6.374862396662904
-56.2233,-61.6016,10.60865271177254
-56.1433,-61.6016,12.22165630129425
-56.0633,-61.6016,7.373662253756463
-55.9833,-61.6016,-10.06229657683982
-55.9033,-61.6016,-25.788671833699553
-55.8233,-61.6016,-34.50527213728067
-55.7433,-61.6016,-37.43753852421034
-55.6633,-61.6016,-38.89067498230403
-55.5833,-61.6016,-43.75728727385288
-55.5033,-61.6016,-54.07556986478553
-55.4233,-61.6016,-61.523325537265784
-55.3433,-61.6016,-29.11678800529196
-55.2633,-61.6016,97.95116581828366
-55.1833,-61.6016,301.970496216789
-55.1033,-61.6016,494.2447830493336
-55.0233,-61.6016,563.6923309197832
-54.9433,-61.6016,510.63757030985573
-54.8633,-61.6016,426.7552957094567
-54.7833,-61.6016,336.77392077486377
-54.7033,-61.6016,235.3653903288145
-54.6233,-61.6016,113.23491430326374
-54.5433,-61.6016,-21.108064455387357
